url,chemical_name,numericals
http://www.industrialchemistry.org/PDF/r12052.pdf,tri-n-alkyl(C7-C9) trimellitate,NA
http://www.industrialchemistry.org/PDF/r11917.pdf,"N-alkyl(C16-C22)-1,3-propanediamine",NA
http://www.industrialchemistry.org/PDF/r5159.pdf,3-[alkoxy(C12-C15)]propylamine,NA
http://www.industrialchemistry.org/PDF/r5157.pdf,3-[alkoxy(C8-C10)]propylamine,NA
http://www.industrialchemistry.org/PDF/r5125.pdf,laurylamine,"[124-22-1],[204-690-6]"
http://www.industrialchemistry.org/PDF/r12329.pdf,trialkyl(C8-C10)amine,NA
http://www.industrialchemistry.org/PDF/r8093.pdf,dimethylalkyl(C13-C15)amine,NA
http://www.industrialchemistry.org/PDF/r10846.pdf,alkyl(C13-C15)amine,NA
http://www.industrialchemistry.org/PDF/r12051.pdf,diisononyl alkylene(C4-C6)dicarboxylate,NA
http://www.industrialchemistry.org/PDF/r11737.pdf,dimethyl alkylene(C4-C6)dicarboxylates,NA
http://www.industrialchemistry.org/PDF/r11731.pdf,alkyl(C9-C30)phenol,NA
http://www.industrialchemistry.org/PDF/r5160.pdf,"3-[alkoxy(C12-C15)propyl]-1,3-propanediamine",[68333-86-8]
http://www.industrialchemistry.org/PDF/r10319.pdf,1-(2-cyanoethyl)-2-ethyl-4-methylimidazole,"[23996-25-0],[245-975-5]"
http://www.industrialchemistry.org/PDF/r2775.pdf,1-(2-dimethylaminoethyl)-5-mercaptotetrazole,[61607-68-9]
http://www.industrialchemistry.org/PDF/r2877.pdf,metronidazole,"[13182-89-3],[443-48-1],[236-131-7]"
http://www.industrialchemistry.org/PDF/r13148.pdf,secnidazole,"[3366-95-8],[222-134-0]"
http://www.industrialchemistry.org/PDF/r7085.pdf,1-(2-hydroxypropyl)imidazole,[37788-55-9]
http://www.industrialchemistry.org/PDF/r11979.pdf,o-methoxyphenylacetone,[5211-62-1]
http://www.industrialchemistry.org/PDF/r4679.pdf,methylionone,"[127-42-4],[127-43-5],[204-843-7]"
http://www.industrialchemistry.org/PDF/r3667.pdf,1-(2'-chloro-5'-sulfophenyl)-3-methyl-5-pyrazolone,[88-76-6]
http://www.industrialchemistry.org/PDF/r15735.pdf,m-nitroacetophenone,"[121-89-1],[204-504-3]"
http://www.industrialchemistry.org/PDF/r11076.pdf,"1-(2',5'-dichloro-4'-sulfophenyl)-3-methylpyrazolone",[84-57-1]
http://www.industrialchemistry.org/PDF/r4819.pdf,methyl isoeugenol,[93-16-3]
http://www.industrialchemistry.org/PDF/r15741.pdf,m-nitropropiophenone,"[17408-16-1],[241-435-8]"
http://www.industrialchemistry.org/PDF/r3677.pdf,1-(3'-sulfophenyl)-3-methylpyrazolone,[119-17-5]
http://www.industrialchemistry.org/PDF/r4824.pdf,propenylguethol,[94-86-0]
http://www.industrialchemistry.org/PDF/r15473.pdf,1-(4-fluorobenzyl)-2-chlorobenzimidazole,[84946-20-3]
http://www.industrialchemistry.org/PDF/r11810.pdf,"1-(4-methoxybenzyl)-1,2,3,4,5,6,7,8-octahydroisoquinoline",[57849-23-7]
http://www.industrialchemistry.org/PDF/r15082.pdf,1-(4-methoxyphenyl)-2-benzylaminopropane,"[43229-65-8],[256-155-1]"
http://www.industrialchemistry.org/PDF/r4811.pdf,anethole,"[104-46-1],[4180-23-8],[203-205-5],[224-052-0]"
http://www.industrialchemistry.org/PDF/r2939.pdf,1-(4-piperidyl)-2-benzodiazolinone,"[20662-53-7],[243-950-3]"
http://www.industrialchemistry.org/PDF/r3654.pdf,1-(4'-chloro-2'-sulfophenyl)-3-methyl-5-pyrazolone,NA
http://www.industrialchemistry.org/PDF/r13639.pdf,isopropyl dibenzoyl methane,"[63250-25-9],[264-043-9]"
http://www.industrialchemistry.org/PDF/r3876.pdf,1-(4'-methylphenyl)-3-methylpyrazolone,[86-92-0]
http://www.industrialchemistry.org/PDF/r3657.pdf,1-(4'-sulfo-2'-methylphenyl)-3-methylpyrazolone,[118-07-0]
http://www.industrialchemistry.org/PDF/r11776.pdf,1-(6'-chloro-2'-methyl-4'-sulfophenyl)-3-methylpyrazolone,NA
http://www.industrialchemistry.org/PDF/r3661.pdf,1-(6'-chloro-2'-methylphenyl)-3-methylpyrazolone,[117-23-7]
http://www.industrialchemistry.org/PDF/r12536.pdf,cyclizine,"[82-92-8],[201-445-5]"
http://www.industrialchemistry.org/PDF/r10721.pdf,monomethylol dimethylhydantoin,"[116-25-6],[204-132-1]"
http://www.industrialchemistry.org/PDF/r16012.pdf,Solvent Red 169,"[27354-18-3],[248-425-2]"
http://www.industrialchemistry.org/PDF/r8188.pdf,Disperse Red 9,"[82-38-2],[201-417-2]"
http://www.industrialchemistry.org/PDF/r15486.pdf,1-(tetrahydro-2-furoyl)piperazine,[63074-07-7]
http://www.industrialchemistry.org/PDF/r11683.pdf,dipropylene glycol monohexyl ether,[27718-72-5]
http://www.industrialchemistry.org/PDF/r16195.pdf,1-acetamido-7-naphthol,"[6470-18-4],[229-293-5]"
http://www.industrialchemistry.org/PDF/r17539.pdf,1-acetyl-2-imidazolidinone,[5391-39-9]
http://www.industrialchemistry.org/PDF/r13226.pdf,1-acetyl-4-(4'-hydroxyphenyl)piperazine,[67914-60-7]
http://www.industrialchemistry.org/PDF/r14089.pdf,1-hydroxyadamantane,"[768-95-6],[212-202-8]"
http://www.industrialchemistry.org/PDF/r3425.pdf,amantadine,"[31377-23-8],[665-66-7],[768-94-5]"
http://www.industrialchemistry.org/PDF/r2683.pdf,2-phenylethylamine,"[64-04-0],[200-574-4]"
http://www.industrialchemistry.org/PDF/r3550.pdf,"3,5-di-(trifluoromethyl)aniline",[328-74-5]
http://www.industrialchemistry.org/PDF/r11793.pdf,1-amino-4-benzamidoanthraquinone,"[81-46-9],[201-351-4]"
http://www.industrialchemistry.org/PDF/r15457.pdf,1-amino-4-methylpiperazine,[6928-85-4]
http://www.industrialchemistry.org/PDF/r3838.pdf,1-amino-5-benzamidoanthraquinone,[117-06-6]
http://www.industrialchemistry.org/PDF/r3515.pdf,8-amino-2-naphthol,[118-46-7]
http://www.industrialchemistry.org/PDF/r9920.pdf,Chicago acid,[82-47-3]
http://www.industrialchemistry.org/PDF/r3511.pdf,H acid,[90-20-0]
http://www.industrialchemistry.org/PDF/r898.pdf,a-naphthylamine,[134-32-7]
http://www.industrialchemistry.org/PDF/r12165.pdf,n-octylamine,"[111-86-4],[203-916-0]"
http://www.industrialchemistry.org/PDF/r6322.pdf,monoisopropanolamine,[78-96-6]
http://www.industrialchemistry.org/PDF/r3267.pdf,1-azaphenothiazine,[261-96-1]
http://www.industrialchemistry.org/PDF/r11795.pdf,1-benzamido-4-chloroanthraquinone,[81-45-8]
http://www.industrialchemistry.org/PDF/r12157.pdf,1-benzamido-4-hydroxyanthraquinone,"[6409-74-1],[229-087-5]"
