Name,Actual Price,Discounted Price,Manufacturer,Medicine URL
Aerokast 5mg Tab,Rs 240,Rs. 204,Barrett Hodgson,https://dawaai.pk/aerokast-5mg-tab-10099.html
Myteka 4mg (pediatric Powder)  sachet,Rs.294.98/Pack,Rs.250.73/Pack,Hilton,https://dawaai.pk/MytekaSachet-Powder4-111.html
Myteka 10mg tablet,Rs.365/Pack,Rs.310.25/Pack,Hilton,https://dawaai.pk/Mytekatab-Tablet10-110.html
Myteka 5mg  tablet,Rs.335/Pack,Rs.284.75/Pack,Hilton,https://dawaai.pk/Mytekatab-Tablet5-109.html
Softin 10mg tablet,Rs.68.31/Pack,Rs.58.06/Pack,Werrick,https://dawaai.pk/softin-108.html
Telfast 120mg tablet,Rs.243.6/Pack,Rs.207.06/Pack,Sanofi Aventis,https://dawaai.pk/Telfasttab-Tablet120-107.html
Telfast 60mg tablet,Rs.146.15/Pack,Rs.124.23/Pack,Sanofi Aventis,https://dawaai.pk/Telfasttab-Tablet60-106.html
T-day 5mg,Rs 74,Rs. 63,Novartis,https://dawaai.pk/t-day-5mg-609.html
Ventek 10mg tablet,Rs.398.74/Pack,Rs.338.93/Pack,Searle,https://dawaai.pk/ventek-10mg-tab-7987.html
Omron Nebulizer NE-C803-E,"Rs 6,180","Rs. 5,253",Omron,https://dawaai.pk/omron-nebulizer-1009.html
Revolizer,Rs 656,Rs. 591,Highnoon,https://dawaai.pk/revolizer-454.html
Non-Contact Telephoto Thermometer HA 500,"Rs 4,350","Rs. 3,915",Rossmax,https://dawaai.pk/non-contact-telephoto-thermometer-36542.html
Infrared Forehead Thermometer (HA-650),"Rs 7,333","Rs. 6,600",Dawaai,https://dawaai.pk/infrared-forehead-thermometer-ha-650-44151.html
Rossmax Infrared Ear Thermometer RA600,"Rs 3,250","Rs. 2,925",Rossmax,https://dawaai.pk/rossmax-infrared-ear-thermometer-23400.html
Rossmax Digital Thermometer TG 100,Rs 280,Rs. 252,Rossmax,https://dawaai.pk/rossmax-digital-thermometer-tg-100-23398.html
Rossmax Flexible Tip Thermometer TG 380,Rs 450,Rs. 405,Rossmax,https://dawaai.pk/rossmax-flexible-tip-thermometer-tg-380-23397.html
Thermometer : Oral  (Clinical),Rs 80,Rs. 72,Dawaai,https://dawaai.pk/thermometer-oral-clinical-7777.html
Omron Digital Thermometer,Rs 760,Rs. 684,Pharmevo,https://dawaai.pk/omron-digital-thermometer-1358.html
Gentle Temp Infrared Thermometer 720,"Rs 9,875","Rs. 8,888",Omron,https://dawaai.pk/gentle-temp-infrared-thermometer-720-37920.html
Omron Eco Temp Smart Thermometer,"Rs 1,190","Rs. 1,071",Omron,https://dawaai.pk/omron-eco-temp-smart-thermometer-37918.html
Foleys Catheter 16,Rs 120,Rs. 108,Dawaai,https://dawaai.pk/foleys-catheter-16-33619.html
Silicon Foley Catheter 18fr,Rs 455,Rs. 410,Silicon,https://dawaai.pk/silicon-foley-catheter-18fr-10030.html
Dawaai Wheelchair with Fiber Wheel,"Rs 13,475","Rs. 12,128",Dawaai,https://dawaai.pk/dawaai-731-21502.html
Dawaai Wheelchair with Hard Seat,"Rs 13,475","Rs. 12,128",Dawaai,https://dawaai.pk/dawaai-729-21501.html
Dawaai Wheelchair with Commode Double Seat,"Rs 13,475","Rs. 12,128",Dawaai,https://dawaai.pk/dawaai-727-21500.html
Dawaai Wheelchair with Aluminium body and full Folding,"Rs 13,475","Rs. 12,128",Dawaai,https://dawaai.pk/dawaai-724-21499.html
Dawaai Commode Chair with Iron Body,"Rs 6,860","Rs. 6,174",Dawaai,https://dawaai.pk/dawaai-718-21497.html
Dawaai Commode Chair with full Folding body,"Rs 9,020","Rs. 8,118",Dawaai,https://dawaai.pk/dawaai-716-21496.html
Dawaai Wheelchair - 608GC,"Rs 21,000","Rs. 18,900",Dawaai,https://dawaai.pk/dawaai-714-21495.html
Dawaai Wheelchair - 802,"Rs 10,200","Rs. 9,180",Dawaai,https://dawaai.pk/dawaai-708-21494.html
Dawaai Wheelchair - 904B,"Rs 16,775","Rs. 15,098",Dawaai,https://dawaai.pk/dawaai-705-21493.html
Dawaai Wheelchair - 863L,"Rs 16,775","Rs. 15,098",Dawaai,https://dawaai.pk/dawaai-702-21492.html
Dawaai Wheelchair with full Foldable Iron Body - 863,"Rs 13,475","Rs. 12,128",Dawaai,https://dawaai.pk/dawaai-1-21491.html
Dawaai Electrical Wheelchair with Iron body - 110,"Rs 136,300","Rs. 122,670",Dawaai,https://dawaai.pk/dawaai-843-21553.html
Dawaai Electric Wheelchair with Iron body Scooty - 165,"Rs 123,500","Rs. 111,150",Dawaai,https://dawaai.pk/dawaai-839-21552.html
Dawaai Electric Wheelchair with Almunium body - 140L,"Rs 179,500","Rs. 161,550",Dawaai,https://dawaai.pk/dawaai-837-21551.html
Dawaai Electric Wheelchair with Iron Body - 119Y,"Rs 116,750","Rs. 105,075",Dawaai,https://dawaai.pk/dawaai-833-21550.html
Dawaai Electric Wheelchair with Iron Body - 110,"Rs 134,300","Rs. 120,870",Dawaai,https://dawaai.pk/dawaai-830-21549.html
Dawaai Commode Chair with Iron Body,"Rs 4,835","Rs. 4,352",Dawaai,https://dawaai.pk/dawaai-750-21511.html
Dawaai Commode Chair with Wheel,"Rs 13,475","Rs. 12,128",Dawaai,https://dawaai.pk/dawaai-741-21507.html
Dawaai Commode Chair with Aluminium Foldable Body,"Rs 13,475","Rs. 12,128",Dawaai,https://dawaai.pk/dawaai-738-21506.html
Smart Flamingo Carpal Tunnel Splint  - 2088,"Rs 1,425","Rs. 1,283",Smart Flamingo,https://dawaai.pk/smart-flamingo-carpal-tunnel-splint-2088-1792.html
Fine Toilet Tissue Rolls Fine 400 Sheets x 10 x 2 PLY,Rs 850,Rs. 765,Fine,https://dawaai.pk/fine-toilet-tissue-rolls-fine-400-sheets-x-10-x-2-ply-3487.html
Fine Toilet Tissue Rolls Extra Strong 150 Sheets x 12 x 3 PLY,Rs 840,Rs. 756,Fine,https://dawaai.pk/fine-toilet-tissue-rolls-extra-strong-150-sheets-x-12-x-3-ply-3486.html
Fine Pocket Tissue 10 x 3 PLY Menthol,Rs 20,Rs. 18,Fine,https://dawaai.pk/fine-pocket-tissue-10-x-3-ply-menthol-3479.html
Fine Facial Tissues Fine Sensation 150 x 3 x 2 PLY Fragrance,Rs 500,Rs. 450,Fine,https://dawaai.pk/fine-facial-tissues-fine-sensation-150-x-3-x-2-ply-fragrance-3477.html
Fine Facial Tissues Fine Sensation  100 x 2 PLY Strawberry,Rs 115,Rs. 104,Fine,https://dawaai.pk/fine-facial-tissues-fine-sensation-100-x-2-ply-strawberry-3475.html
Fine Facial Tissues Fine Sensation  100 x 2 PLY Peach,Rs 115,Rs. 104,Fine,https://dawaai.pk/fine-facial-tissues-fine-sensation-100-x-2-ply-peach-3474.html
Fine Facial Tissues Fine Lotion 100 x 3 PLY,Rs 200,Rs. 180,Fine,https://dawaai.pk/fine-facial-tissues-fine-lotion-100-x-3-ply-3472.html
Fine Facial Tissues Fine Classic 200 x 2 PLY,Rs 200,Rs. 180,Fine,https://dawaai.pk/fine-facial-tissues-fine-classic-200-x-2-ply-3470.html
Fine Facial Tissues Fine Classic ,Rs 160,Rs. 144,Fine,https://dawaai.pk/fine-facial-tissues-fine-classic-150-x-2-ply-3469.html
Fine Facial Tissues Fine Classic 100 x 2 PLY,Rs 115,Rs. 104,Fine,https://dawaai.pk/fine-facial-tissues-fine-classic-100-x-2-ply-3468.html
Pampers Baby Wipes 64 Counts ,Rs 300,Rs. 270,Pampers,https://dawaai.pk/pampers-baby-wipes-64-counts-38245.html
Familia 2 ply kitchen towel ,Rs 336,Rs. 302,Molfix,https://dawaai.pk/familia-2-ply-kitchen-towel-43277.html
Beurer Heating Pad With Smart Technology washable machine HK 115,"Rs 6,000","Rs. 5,400",Beurer,https://dawaai.pk/beurer-heating-pad-with-smart-technology-washable-machine-hk-115-2814.html
Beurer For the stomach & back - HK 49,"Rs 6,200","Rs. 5,580",Beurer,https://dawaai.pk/beurer-for-the-stomach-back-hk-49-2761.html
Beurer Multifunction Heating Pad - HK 55,"Rs 6,300","Rs. 5,670",Beurer,https://dawaai.pk/beurer-multifunction-heating-pad-hk-55-2760.html
Avil  50 mg,Rs.63.46/Pack,"Rs.
            
            26.97",Sanofi Aventis,https://dawaai.pk/avil-50mg-1619.html
Xynosine Nasal Spray  nasal spray,Rs.41.23/Pack,Rs.35.05/Pack,Zafa,https://dawaai.pk/xynosine-nasal-spray-337.html
Onbrez 150mcg,"Rs 2,875","Rs. 2,444",Novartis,https://dawaai.pk/onbrez-150mcg-1612.html
Deslavid 5mg tablet,Rs.110/Pack,Rs.93.50/Pack,Abbott,https://dawaai.pk/deslavid-38430.html
Senior Steam Inhaler,"Rs 3,200","Rs. 2,720",Senior,https://dawaai.pk/senior-steam-inhaler-37472.html
Clinical Flat Type Thermometer ,Rs.1800/Pack,"Rs.
            
            135.00",Master,https://dawaai.pk/clinical-flat-type-thermometer-38426.html
Nipro Iv Cannula 22,Rs 135,Rs. 122,Nipro,https://dawaai.pk/nipro-iv-cannula-22-2333.html
Dawaai Commode Chair with Foldable Body,"Rs 4,430","Rs. 3,987",Dawaai,https://dawaai.pk/dawaai-735-21504.html
Dawaai Wheel Walker with Aluminium Body,"Rs 5,780","Rs. 5,202",Dawaai,https://dawaai.pk/dawaai-747-21508.html
Victorinox Tinker - 1.4603,"Rs 2,100","Rs. 1,890",Victorinox,https://dawaai.pk/victorinox-tinker-14603-2889.html
Victorinox Forester - 0.8363.3,"Rs 4,825","Rs. 4,343",Victorinox,https://dawaai.pk/victorinox-forester-083633-2886.html
Victorinox Midnite Manager - 0.6366,"Rs 4,625","Rs. 4,163",Victorinox,https://dawaai.pk/victorinox-midnite-manager-06366-2884.html
Victorinox Bantam Red - 0.2303,"Rs 1,275","Rs. 1,148",Victorinox,https://dawaai.pk/victorinox-bantam-red-02303-2881.html
Victorinox Silver Ribbed Alox - 0.2300.26,"Rs 2,300","Rs. 2,070",Victorinox,https://dawaai.pk/victorinox-silver-ribbed-alox-0230026-2880.html
Victorinox Traveller Kit -1.8726,"Rs 12,325","Rs. 11,093",Victorinox,https://dawaai.pk/victorinox-traveller-kit-18726-2878.html
Victorinox Escort - 0.6123,"Rs 1,100",Rs. 990,Victorinox,https://dawaai.pk/victorinox-escort-06123-2877.html
Victorinox Single Blade - 0.6910,"Rs 1,100",Rs. 990,Victorinox,https://dawaai.pk/victorinox-single-blade-06910-2876.html
Victorinox Swiss Champ Black - 1.6795.3,"Rs 9,175","Rs. 8,258",Victorinox,https://dawaai.pk/victorinox-swiss-champ-black-167953-2875.html
Victorinox Parachutist Black - 0.8473.3,"Rs 5,325","Rs. 4,793",Victorinox,https://dawaai.pk/victorinox-parachutist-black-084733-2874.html
Victorinox Nomad Lockblade - 0.8353.3,"Rs 4,000","Rs. 3,600",Victorinox,https://dawaai.pk/victorinox-nomad-lockblade-083533-2873.html
Victorinox Executive Red - 0.6603,"Rs 3,390","Rs. 3,051",Victorinox,https://dawaai.pk/victorinox-executive-red-06603-2872.html
Victorinox Tourist Red - 0.3603,"Rs 2,175","Rs. 1,958",Victorinox,https://dawaai.pk/victorinox-tourist-red-03603-2870.html
Victorinox Swiss Champ - 1.6795,"Rs 9,175","Rs. 8,258",Victorinox,https://dawaai.pk/victorinox-swiss-champ-16795-2867.html
Victorinox Explorer Red - 1.6703,"Rs 4,600","Rs. 4,140",Victorinox,https://dawaai.pk/victorinox-explorer-red-16703-2866.html
Victorinox Fisherman Red - 1.4733.72,"Rs 3,875","Rs. 3,488",Victorinox,https://dawaai.pk/victorinox-fisherman-red-1473372-2865.html
Victorinox Huntsman Red - 1.3713,"Rs 3,875","Rs. 3,488",Victorinox,https://dawaai.pk/victorinox-huntsman-red-13713-2864.html
Victorinox Workchamp Large Blade Red - 0.9064,"Rs 9,800","Rs. 8,820",Victorinox,https://dawaai.pk/victorinox-workchamp-large-blade-red-09064-2863.html
Victorinox Picknicker - 0.8853,"Rs 3,825","Rs. 3,443",Victorinox,https://dawaai.pk/victorinox-picknicker-08853-2862.html
Papia 2ply prfm pe facial tissue,Rs 177,Rs. 159,Molfix,https://dawaai.pk/papia-2ply-prfm-pe-facial-tissue-43272.html
