Name,Actual Price,Discounted Price,Manufacturer,Medicine URL
Butterfly Ultra Breathable Soft Pack 8 Pcs,Rs 150,Rs. 135,Butterfly,https://dawaai.pk/butterfly-ultra-breathable-soft-pack-8-pcs-43825.html
Hydryllin Dm,Rs 72,Rs. 61,Searle,https://dawaai.pk/hydryllin-dm-325.html
Hydryllin Sugar Free,Rs 69,Rs. 59,Searle,https://dawaai.pk/hydryllin-sugar-free-324.html
Montiget 10mg  tablet,Rs.355/Pack,Rs.301.75/Pack,Getz,https://dawaai.pk/montiget-10mg-315.html
Senergy-OD,Rs 50,Rs. 43,Highnoon,https://dawaai.pk/senergy-od-1849.html
Ventolin Expectorant (sugar Free),Rs 52,Rs. 44,GlaxoSmithKline,https://dawaai.pk/ventolin-expectorant-sugar-free-1844.html
Clenil 250 mcg  inhalar  inhaler,Rs.530/Pack,Rs.450.50/Pack,Chiesi,https://dawaai.pk/clenil-nebuliser-560.html
Singulair 5mg  ,Rs.1205.36/Pack,"Rs.1,024.56/Pack",OBS,https://dawaai.pk/singulair-5mg-paediatric-1839.html
Unifyline 400mg,Rs 186,Rs. 158,Platinum,https://dawaai.pk/unifyline-400mg-1316.html
Oxycrom Nasal Spray,Rs 227,Rs. 193,Sante,https://dawaai.pk/oxycrom-nasal-spray-1057.html
Herbion Linkus Nova Lozenges,Rs 360,Rs. 306,Herbion,https://dawaai.pk/herbion-linkus-nova-lozenges-1994.html
Herbion Toot Rus Lozenges - 96s,Rs 360,Rs. 306,Herbion,https://dawaai.pk/herbion-toot-rus-lozenges-96s-1992.html
Johar Joshanda,Rs 10,Rs. 9,Qarshi,https://dawaai.pk/johar-joshanda-sugarfree-446.html
Strepsils Lozenges - Original,Rs 75,Rs. 68,RB,https://dawaai.pk/strepsils-443.html
Strepsils Lozenges - Cool,Rs 90,Rs. 81,RB,https://dawaai.pk/strepsils-lozenges-cool-1066.html
Face Mask 3ply without nose pin,Rs 15,Rs. 14,Dawaai,https://dawaai.pk/face-masks-853.html
The Vitamin Company Krack Cream,Rs 500,Rs. 450,The Vitamin Company,https://dawaai.pk/the-vitamin-company-krack-4692.html
AVON Care Smoothing Olive Oil Hand Cream For Very Dry Skin 100ml,Rs 525,Rs. 473,Avon,https://dawaai.pk/avon-care-smoothing-olive-oil-hand-cream-for-very-dry-skin-100ml-3912.html
AVON Care Glycerine Hand & Nail Cream For Normal/Dry Skin 200ml,Rs 625,Rs. 563,Avon,https://dawaai.pk/avon-care-glycerine-hand-nail-cream-for-normaldry-skin-200ml-3911.html
AVON Care Argan Oil Hand Cream For Dry Skin - 100ml,Rs 530,Rs. 477,Avon,https://dawaai.pk/avon-care-argan-oil-hand-cream-for-dry-skin-100ml-3910.html
AVON Care Cocoa Butter Hand Cream For Dry Skin 100ml,Rs 525,Rs. 473,Avon,https://dawaai.pk/avon-care-cocoa-butter-hand-cream-for-dry-skin-100ml-3909.html
Linkus Balm,Rs 75,Rs. 68,Herbion,https://dawaai.pk/linkus-balm-1594.html
English Moisturizing Cold Cream Large,Rs 110,Rs. 99,English,https://dawaai.pk/english-moisturizing-cold-cream-large-43555.html
Anker PowerCore + Quick Charge 3.0 13400 - A1316011,"Rs 6,000","Rs. 5,400",Anker,https://dawaai.pk/anker-powercore-quick-charge-30-13400-a1316011-8161.html
Anker PowerCore Slim Portable Charger 5000 - A1250011,"Rs 3,500","Rs. 3,150",Anker,https://dawaai.pk/anker-powercore-slim-portable-charger-5000-a1250011-8160.html
Anker PowerCore Speed Quick Charge 3.0 20000 - A1274H11,"Rs 6,700","Rs. 6,030",Anker,https://dawaai.pk/anker-powercore-speed-quick-charge-30-20000-a1274h11-8159.html
Anker PowerCore Speed Quick Charge 3.0 10000 - A1266011,"Rs 5,000","Rs. 4,500",Anker,https://dawaai.pk/anker-powercore-speed-quick-charge-30-10000-a1266011-8158.html
Anker PowerCore Black 10050 - A1310H11,"Rs 5,600","Rs. 5,040",Anker,https://dawaai.pk/anker-powercore-black-10050-a1310h11-8157.html
Anker PowerCore External Battery Pack Black 10400 mAh - A1214H11,"Rs 3,800","Rs. 3,420",Anker,https://dawaai.pk/anker-powercore-external-battery-pack-black-10400-mah-a1214h11-8156.html
Anker PowerCore + USB-C Black 20100 - A1371H12,"Rs 8,000","Rs. 7,200",Anker,https://dawaai.pk/anker-powercore-usb-c-black-20100-a1371h12-8155.html
Anker Astro E1 External Battery Black 5200mAh - A1211H12,"Rs 2,800","Rs. 2,520",Anker,https://dawaai.pk/anker-astro-e1-external-battery-black-5200mah-a1211h12-8154.html
Anker Extended  Battery Case For Iphone6 3100MAH Black - A1404H11,"Rs 6,500","Rs. 5,850",Anker,https://dawaai.pk/anker-extended-battery-case-for-iphone6-3100mah-black-a1404h11-8153.html
Anker Powercore+ 10050 (Black) Online Packaging - A1310H12,"Rs 5,500","Rs. 4,950",Anker,https://dawaai.pk/anker-powercore-10050-black-online-packaging-a1310h12-8152.html
Anker Powercore+20100 Usb-C Un Black - A1371H11,"Rs 8,000","Rs. 7,200",Anker,https://dawaai.pk/anker-powercore20100-usb-c-un-black-a1371h11-8151.html
Anker Powercore External Battery 15600MAH Black - A1252011,"Rs 5,000","Rs. 4,500",Anker,https://dawaai.pk/anker-powercore-external-battery-15600mah-black-a1252011-8150.html
Anker Powercore 10400MAH External Battery Pack Black - A1214011,"Rs 3,500","Rs. 3,150",Anker,https://dawaai.pk/anker-powercore-10400mah-external-battery-pack-black-a1214011-8149.html
Anker Astro E1 5200MAH External Battery Black - A1211H11,"Rs 2,600","Rs. 2,340",Anker,https://dawaai.pk/anker-astro-e1-5200mah-external-battery-black-a1211h11-8148.html
Anker Powercore Mini 3350MAH Portable Charger Bank - A1108H11,"Rs 2,200","Rs. 1,980",Anker,https://dawaai.pk/anker-powercore-mini-3350mah-portable-charger-bank-a1108h11-8147.html
Victorinox Swiss Lite Red - 0.6228,"Rs 3,300","Rs. 2,970",Victorinox,https://dawaai.pk/victorinox-swiss-lite-red-06228-2861.html
Cuddles Feeder Natural Shape 60ml,Rs 349,Rs. 314,Cuddles,https://dawaai.pk/feeder-natural-shape-60ml-37901.html
Herbline Essentials Neem and Brahmi Face Wash 120ml,"Rs 1,990","Rs. 1,791",Herbline Essentials,https://dawaai.pk/herbline-essentials-neem-and-brahmi-face-wash-120ml-3599.html
Butterfly Ultra Breathable Soft Pack 7 Pcs,Rs 150,Rs. 135,Butterfly,https://dawaai.pk/butterfly-ultra-breathable-soft-pack-7-pcs-43824.html
Tiovair-F  18mcg / 12mcg capsule,Rs.762.15/Pack,Rs.647.83/Pack,Highnoon,https://dawaai.pk/tiovair-18mcg-533.html
Strepsils Lozenges - Honey & Lemon,Rs 75,Rs. 68,RB,https://dawaai.pk/strepsils-lozenges-honey-lemon--1065.html
Molfix pant e.large - twin pack 22's,"Rs 1,099",Rs. 989,Molfix,https://dawaai.pk/molfix-pant-elarge-twin-pack-43264.html
Herbline Essentials Margosa Shampoo 220ml,"Rs 2,300","Rs. 2,070",Herbline Essentials,https://dawaai.pk/herbline-essentials-margosa-shampoo-220ml-3654.html
Deep Cleansing Shampoo - 258ml,"Rs 1,800","Rs. 1,620",Beaver Professional,https://dawaai.pk/deep-cleansing-shampoo-258ml-33861.html
Herbline Essentials Henna Liquorice Shampoo 220ml,"Rs 2,300","Rs. 2,070",Herbline Essentials,https://dawaai.pk/herbline-essentials-henna-liquorice-shampoo-220ml-3651.html
Nutritive Moisturizing Shampoo - 768ml,"Rs 3,800","Rs. 3,420",Beaver Professional,https://dawaai.pk/nutritive-moisturizing-shampoo-768ml-33858.html
Head & Shoulders Classic Clean Shampoo ,Rs 199,Rs. 179,Head & Shoulders,https://dawaai.pk/head-shoulders-classic-clean-shampoo-200ml-3645.html
Framesi Color Lover Moisture Control Nutriente Shampoo - 500ml,"Rs 1,050",Rs. 945,Framesi,https://dawaai.pk/framesi-color-lover-moisture-control-nutriente-shampoo-500ml-4143.html
Pampers New Baby-Dry Size 2 (3-8 KG) 20 Counts,Rs 840,Rs. 756,Pampers,https://dawaai.pk/pampers-new-baby-dry-size-2-3-8-kg-20-counts-38247.html
Megatar Shampoo,Rs 390,Rs. 351,Maxitech Pharma,https://dawaai.pk/meditar-shampoo-796.html
Pampers Baby-Dry Size 4 (9-18 KG Maxi) 32 Counts,"Rs 1,490","Rs. 1,341",Pampers,https://dawaai.pk/pampers-baby-dry-size-4-9-18-kg-maxi-32-counts-38246.html
Pampers Baby-Dry Size 5 (11-25 KG) 8 Count ,Rs 420,Rs. 378,Pampers,https://dawaai.pk/pampers-baby-dry-size-5-11-25-kg-8-count-38244.html
Pampers Premium Care Size 5 (11-25 KG) 48 Counts,"Rs 2,890","Rs. 2,601",Pampers,https://dawaai.pk/pampers-premium-care-size-5-11-25-kg-48-counts-38242.html
Pampers Premium care Size 5 (11-25 KG) 24 Counts,"Rs 1,390","Rs. 1,251",Pampers,https://dawaai.pk/pampers-premium-care-size-5-11-25-kg-24-counts-38241.html
Pampers Baby Dry Size 3 (6-10 KG) 36 Counts,"Rs 1,490","Rs. 1,341",Pampers,https://dawaai.pk/pampers-baby-dry-size-3-6-10-kg-36-counts-38240.html
Pampers Pants Culottes Size 6 (16+ KG) Extra Large 24 Counts,"Rs 1,230","Rs. 1,107",Pampers,https://dawaai.pk/pampers-pantsculottes-size-6-16-kg-extra-large-24-counts-38239.html
Pampers Baby-Dry Size 4 (9-18 KG) 8 Counts,Rs 420,Rs. 378,Pampers,https://dawaai.pk/pampers-baby-dry-size-4-9-18-kg-8-counts-38237.html
Pampers Premium Care Size 4 (9-18 KG) 52 Counts,"Rs 2,890","Rs. 2,601",Pampers,https://dawaai.pk/pampers-premium-care-size-4-9-18-kg-52-counts-38228.html
Pampers Baby Dry Size 5 (11-25Kg) 60 Counts ,"Rs 2,600","Rs. 2,340",Pampers,https://dawaai.pk/pampers-baby-dry-size-5-11-25kg-60-counts-38441.html
Butterfly Bumpies Medium Size 3 (4-9Kg) 56 Diapers,"Rs 1,499","Rs. 1,349",Butterfly,https://dawaai.pk/butterfly-bumpies-medium-size-3-4-9kg-56-diapers-38440.html
Pampers Pants Culottes Size 5 (12-18kg) 52 Counts,"Rs 2,600","Rs. 2,340",Pampers,https://dawaai.pk/pampers-pants-culottes-size-5-12-18kg-52-counts-43303.html
Pampers Premium Care Size 2 (3-8kg) 40 Counts,"Rs 1,200","Rs. 1,080",Pampers,https://dawaai.pk/pampers-premium-care-size-2-3-8kg-40-counts-1-38439.html
Molfix pant e.large - jumbo pack 44's,"Rs 2,067","Rs. 1,860",Molfix,https://dawaai.pk/molfix-pant-elarge-jumbo-pack-43270.html
Molfix pant junior - jumbo pack 52's,"Rs 2,067","Rs. 1,860",Molfix,https://dawaai.pk/molfix-pant-junior-jumbo-pack-43267.html
Molfix pant maxi - jumbo pack 56's,"Rs 2,067","Rs. 1,860",Molfix,https://dawaai.pk/molfix-pant-maxi-jumbo-pack-43266.html
Molfix pant midi - jumbo pack 62's,"Rs 2,067","Rs. 1,860",Molfix,https://dawaai.pk/molfix-pant-midi-jumbo-pack-43265.html
Tea Tree Oil Shampoo - 350ml,"Rs 1,800","Rs. 1,620",Beaver Professional,https://dawaai.pk/oil-shampoo-350ml-33638.html
Marula Oil Shampoo - 730ml,"Rs 3,400","Rs. 3,060",Beaver Professional,https://dawaai.pk/marula-oil-shampoo-700ml-33634.html
Marula Oil Shampoo - 350ml,"Rs 1,800","Rs. 1,620",Beaver Professional,https://dawaai.pk/marula-oil-shampoo-350ml-33633.html
 Intensive Moisture Shampoo,"Rs 2,000","Rs. 1,800",Luxliss Keratin,https://dawaai.pk/intensive-moisture-shampoo-33629.html
Deep Cleansing Shampoo,"Rs 2,000","Rs. 1,800",Luxliss Keratin,https://dawaai.pk/deep-cleansing-shampoo-33623.html
Wiwid Shampoo 150ml,Rs 465,Rs. 419,Maxitech Pharma,https://dawaai.pk/wiwid-shampoo-150ml-1365.html
Daily Care Shampoo,"Rs 2,300","Rs. 2,070",Luxliss Keratin,https://dawaai.pk/daily-care-shampoo-33620.html
Claree Shampoo- Olive,Rs 155,Rs. 140,Herbion,https://dawaai.pk/claree-shampoo-olive-1363.html
Claree Shampoo- Aloe Vera,Rs 155,Rs. 140,Herbion,https://dawaai.pk/claree-shampoo-aloe-vera-1362.html
NATURICOS SHAMPOO PH,Rs 415,Rs. 374,Dawaai,https://dawaai.pk/naturicos-shampoo-ph-34382.html
